Context;Reference;hu
Web;Two-Factor Authentication;Kétfaktoros hitelesítés
Web;Type;Típus
Web;Type a new password;Adjon meg egy új jelszót
Web;Upload;Feltöltés
Web;User groups;Felhasználói csoportok
Web;User identifier or email;Felhasználói azonosító vagy e-mail
Web;User name;Felhasználónév
Web;Users;Felhasználók
Web;Width;Szélesség
WebJS;# of % selected;A kiválasztott % darabszáma
WebJS;Actions;Műveletek
WebJS;All selected;Mind kiválasztva
WebJS;Allow only execution in a new window;Csak új ablakban történő végrehajtás engedélyezése
WebJS;Cancel;Mégse
WebJS;Contains;Tartalmazza
WebJS;Contains all;Mindet tartalmazza
WebJS;Contains any;Bármelyiket tartalmazza
WebJS;Copy;Másolás
WebJS;Copy of;Másolata:
WebJS;Copy to;Másolás ide
WebJS;Default;Alapértelmezett
WebJS;Default culture;Alapértelmezett kultúra
WebJS;Default mode;Alapértelmezett mód
WebJS;Default report connection;Alapértelmezett jelentéskapcsolat
WebJS;Default repository connection;Alapértelmezett tárház-kapcsolat
WebJS;Default startup;Alapértelmezett indítás
WebJS;Do not execute report;Ne hajtsa végre a jelentést
WebJS;Do you really want to delete the reports or files selected ?;Valóban törölni szeretné a kiválasztott jelentéseket vagy fájlokat?
WebJS;Does not contain;Nem tartalmazza
WebJS;Does not contain all;Nem tartalmazza mindet
WebJS;Does not contain any;Egyiket sem tartalmazza
WebJS;Download report;Jelentés letöltése
WebJS;Edit report;Jelentés szerkesztése
WebJS;Edit reports / Manage files;Jelentések szerkesztése / Fájlok kezelése
WebJS;Edit schedules / View files;Ütemezések szerkesztése / Fájlok megtekintése
WebJS;Ends with;Végződik
WebJS;Equals;Egyenlő
WebJS;Error;Hiba
WebJS;Execute report in a new window;Jelentés végrehajtása új ablakban
WebJS;Execute report in the current window;Jelentés végrehajtása az aktuális ablakban
WebJS;Execute reports / View files;Jelentések végrehajtása / Fájlok megtekintése
WebJS;Execute reports and outputs / View files;Jelentések és kimenetek végrehajtása / Fájlok megtekintése
WebJS;Execute the last report;Az utolsó jelentés végrehajtása
WebJS;Execute the report;A jelentés végrehajtása
WebJS;Favorites;Kedvencek
WebJS;Folder;Mappa
WebJS;Is between;Tartományon belül van
WebJS;Is different from;Eltér ettől
WebJS;Is empty;Üres
WebJS;Is greater or equal than;Nagyobb vagy egyenlő, mint
WebJS;Is greater than;Nagyobb, mint
WebJS;Is not between;Nincs a tartományon belül
WebJS;Is not empty;Nem üres
WebJS;Is not Null;Nem Null
WebJS;Is Null;Null
WebJS;Is smaller or equal than;Kisebb vagy egyenlő, mint
WebJS;Is smaller than;Kisebb, mint
WebJS;Last modification;Utolsó módosítás
WebJS;Mark as favorite;Megjelölés kedvencként
WebJS;Model;Modell
WebJS;No;Nem
WebJS;No personal folder;Nincs személyes mappa
WebJS;No right;Nincs jogosultság
WebJS;None;Nincs
WebJS;Not sorted;Nincs rendezve
WebJS;OK;OK
WebJS;Options;Beállítások
WebJS;Output;Kimenet
WebJS;Personal folder for files only;Személyes mappa csak fájlokhoz
WebJS;Personal folder for reports and files;Személyes mappa jelentésekhez és fájlokhoz
WebJS;Please wait;Kérjük, várjon
WebJS;Processing;Feldolgozás
WebJS;Profile;Profil
WebJS;Recents;Legutóbbiak
WebJS;Report;Jelentés
WebJS;report(s) or file(s) cut in the clipboard;jelentés(eke)t vagy fájl(oka)t vágott a vágólapra
WebJS;report(s) or file(s) have been deleted;jelentés(ek) vagy fájl(ok) törölve
WebJS;report(s) or file(s) processed;jelentés(ek) vagy fájl(ok) feldolgozva
WebJS;report(s) or files(s) copied in the clipboard;jelentés(eke)t vagy fájl(oka)t másolt a vágólapra
WebJS;Reports;Jelentések
WebJS;Schedule;Ütemezés
WebJS;Server Version;Szerververzió
WebJS;Show _MENU_ reports;_MENU_ jelentés megjelenítése
WebJS;Starts with;Kezdődik
WebJS;The folder has been created;A mappa létrejött
WebJS;The folder has been deleted;A mappa törölve lett
WebJS;The folder has been renamed;A mappa át lett nevezve
WebJS;The folder has been updated;A mappa frissítve lett
WebJS;The report or file has been renamed;A jelentés vagy fájl át lett nevezve
WebJS;Toggle Report or Folders view;Jelentés vagy mappa nézet váltása
WebJS;Unexpected error on server;Váratlan hiba a szerveren
WebJS;View;Megtekintés
WebJS;View Folders;Mappák megtekintése
WebJS;View Report;Jelentés megtekintése
WebJS;View reports;Jelentések megtekintése
WebJS;Views and outputs;Nézetek és kimenetek
WebJS;Warning;Figyelmeztetés
WebJS;Web Interface Version;Webes felület verziója
WebJS;Yes;Igen
Web;Select agent;Asszisztens kiválasztása
Web;Mark as favorite;Megjelölés kedvencként
Web;Favorites;Kedvencek
Web;No favorites yet;Még nincsenek kedvencek
Web;Recent;Legutóbbi
Web;No recent items;Nincsenek legutóbbi elemek
Web;New conversation;Új beszélgetés
Web;Sample prompts;Mintaüzenetek
Web;Sample Prompts;Mintaüzenetek
Web;No sample prompts defined;Nincsenek megadva mintaüzenetek
Web;AI Agent;MI asszisztens
Web;Favorites & Recent;Kedvencek és legutóbbiak
Web;Hide panel;Panel elrejtése
Web;Ask the AI agent…;Kérdezze az MI asszisztenst…
Web;Confirm Deletion;Törlés megerősítése
Web;This action is irreversible. Are you sure you want to delete this item?;Ez a művelet visszafordíthatatlan. Biztosan törölni szeretné ezt az elemet?
Web;Data Source;Adatforrás
Web;Report Agents;Jelentésasszisztensek
Web;Select Tables or Views;Táblák vagy nézetek kiválasztása
Web;Filter tables...;Táblák szűrése...
Web;Select All;Mindet kijelöl
Web;Deselect All;Kijelölés megszüntetése
Web;tables selected;tábla kiválasztva
Web;Prompt Shortcuts;Üzenet-parancsikonok
Web;How can Seal AI help you today ?;Hogyan segíthet ma a Seal MI?
Web;No current items available;Nincsenek elérhető aktuális elemek
Web;Current items will appear here when saved;Az aktuális elemek itt jelennek meg, ha mentésre kerülnek
Web;Drafts;Piszkozatok
Web;No draft items available;Nincsenek elérhető piszkozatelemek
Web;Upload files or create new items with the agent to see them here;Töltsön fel fájlokat vagy hozzon létre új elemeket az asszisztenssel, hogy itt megjelenjenek
Web;Item Details;Elem részletei
Web;Loading detail. Please wait...;Részletek betöltése. Kérjük, várjon...
Web;Select a row from the table to view its details;Válasszon egy sort a táblából a részletek megtekintéséhez
Web;Check;Ellenőrzés
Web;Download;Letöltés
Web;Reports Agent;Jelentésasszisztens
Web;Connection type;Kapcsolat típusa
Web;Connection string;Kapcsolati karakterlánc
Web;Tables or views;Táblák vagy nézetek
Web;Report Agent;Jelentésasszisztens
Web;AI Provider;MI szolgáltató
Web;AI model;MI modell
Web;AI model name (overrides default));MI modell neve (felülírja az alapértelmezettet))
Web;Temperature;Hőmérséklet
Web;Model temperature;Modell hőmérséklete
Web;System prompt;Rendszerüzenet
Web;Optional sytem prompt for the agent;Választható rendszerüzenet az asszisztenshez
Web;User prompt;Felhasználói üzenet
Web;Default user prompts (if empty default values configured are taken);Alapértelmezett felhasználói üzenetek (ha üres, a beállított alapértelmezett értékek érvényesek)
Web;User Groups allowed (No selection means no restriction);Engedélyezett felhasználói csoportok (nincs kiválasztás esetén nincs korlátozás)
Web;Scan options;Vizsgálati beállítások
Web;When to scan;Mikor vizsgáljon
Web;Cache duration (days);Gyorsítótár időtartama (nap)
Web;Cache duration (days) for scanned data;A vizsgált adatok gyorsítótárának időtartama (nap)
Web;Tables to scan (no selection means all tables);Vizsgálandó táblák (nincs kiválasztás esetén minden tábla)
Web;Records to scan;Vizsgálandó rekordok
Web;Number of records used for scan;A vizsgálathoz használt rekordok száma
Web;Scan Data Now;Adatok vizsgálata most
Web;Execute;Végrehajtás
Web;Elements:;Elemek:
Web;Restrictions:;Korlátozások:
WebJS;Hide AI Agent;MI asszisztens elrejtése
WebJS;AI Agent;MI asszisztens
WebJS;Running;Fut
WebJS;Request cancelled.;A kérés megszakítva.
WebJS;Remove from favorites;Eltávolítás a kedvencek közül
WebJS;No sample prompts defined;Nincsenek megadva mintaüzenetek
WebJS;Rename;Átnevezés
WebJS;Delete;Törlés
WebJS;No favorites yet;Még nincsenek kedvencek
WebJS;No recent items;Nincsenek legutóbbi elemek
Web;Configuration;Konfiguráció
Web;Rights;Jogok
Web;Agents;Asszisztensek
Web;Folder;Mappa
Web;Drag to resize;Húzza az átméretezéshez
WebJS;Copy and paste;Másolás és beillesztés
WebJS;Copy, paste and send;Másolás, beillesztés és küldés
Web;Empty recycle bin;Lomtár ürítése
WebJS;Do you really want to permanently delete all items in the recycle bin ?;Biztosan véglegesen törölni szeretné a lomtár összes elemét?
WebJS;The recycle bin has been emptied;A lomtár ki lett ürítve
WebJS;Task: only the tasks are executed;Feladat: csak a feladatok futnak le
WebJS;This report has a schedule;Ennek a jelentésnek van ütemezése
Report;Show/Hide Guide;Útmutató megjelenítése/elrejtése
Report;Show Restrictions;Korlátozások megjelenítése
Report;Hide Restrictions;Korlátozások elrejtése
Report;Show Guide;Útmutató megjelenítése
Report;Hide Guide;Útmutató elrejtése
WebJS;Copy for Excel;Másolás Excelbe
WebJS;Download CSV;CSV letöltése
