Context;Reference;fi
Web;Back to login with user name and password;Takaisin kirjautumiseen käyttäjänimellä ja salasanalla
Web;BIN;Roskakori
Web;Cancel;Peruuta
Web;Change password;Vaihda salasana
Web;Change password;Vaihda salasana
Web;Change your password;Vaihda salasanasi
Web;Chart sort;Kaavion lajittelu
Web;Close;Sulje
Web;Color;Väri
Web;Confirm your new password;Vahvista uusi salasanasi
Web;Copy;Kopioi
Web;Create in folder;Luo kansioon
Web;Create new folder;Luo uusi kansio
Web;CSS Format;CSS-muoto
Web;Culture;Kulttuuri
Web;Current password;Nykyinen salasana
Web;Cut;Leikkaa
Web;Data source connections;Tietolähteen yhteydet
Web;Default view;Oletusnäkymä
Web;Delete;Poista
Web;Delete folder;Poista kansio
Web;Description;Kuvaus
Web;Device;Laite
Web;Disconnect;Katkaise yhteys
Web;Display options;Näyttöasetukset
Web;Edit;Muokkaa
Web;Edit entry;Muokkaa merkintää
Web;Edition;Versio
Web;Email;Sähköposti
Web;Enter password;Anna salasana
Web;Enter user name;Anna käyttäjänimi
Web;Enter your current password;Anna nykyinen salasanasi
Web;Enter your new file name;Anna uusi tiedostonimesi
Web;Enter your new password;Anna uusi salasanasi
Web;Enter your security code;Anna turvakoodisi
Web;Enter your user identifier or email;Anna käyttäjätunnuksesi tai sähköpostisi
Web;Error;Virhe
Web;Error: only files (and not reports) can be copied to this folder.;Virhe: vain tiedostoja (ei raportteja) voi kopioida tähän kansioon.
Web;Error: the destination file name contains invalid characters.;Virhe: kohdetiedoston nimi sisältää virheellisiä merkkejä.
Web;Error: the destination folder name contains invalid characters.;Virhe: kohdekansion nimi sisältää virheellisiä merkkejä.
Web;Export;Vie
Web;Folders;Kansiot
Web;Forget your password ?;Unohditko salasanasi?
Web;Groups;Ryhmät
Web;Groups;Ryhmät
Web;Height;Korkeus
Web;Icon;Kuvake
Web;Information;Tiedot
Web;Invalid security code;Virheellinen turvakoodi
Web;Invalid user name or password;Virheellinen käyttäjänimi tai salasana
Web;Is dynamic;On dynaaminen
Web;Last execution at;Viimeisin suoritus
Web;Licensed to;Lisensoitu käyttäjälle
Web;Login;Kirjaudu sisään
Web;Logins;Kirjautumiset
Web;Logout;Kirjaudu ulos
Web;Logout the user;Kirjaa käyttäjä ulos
Web;Manage Folders;Hallitse kansioita
Web;Name;Nimi
Web;New;Uusi
Web;New folder name;Uuden kansion nimi
Web;New folder path;Uuden kansion polku
Web;New password;Uusi salasana
Web;None;Ei mitään
Web;OK;OK
Web;On startup;Käynnistyksen yhteydessä
Web;Optional chart title;Valinnainen kaavion otsikko
Web;Optional menu name;Valinnainen valikon nimi
Web;Output;Tuloste
Web;Password;Salasana
Web;Paste;Liitä
Web;PDF Conversion delay;PDF-muunnoksen viive
Web;Personal;Henkilökohtainen
Web;Phone;Puhelin
Web;Please wait;Odota
Web;Profile;Profiili
Web;Profile information;Profiilitiedot
Web;Refresh;Päivitä
Web;Re-init your password;Alusta salasanasi uudelleen
Web;Reload and execute;Lataa uudelleen ja suorita
Web;Rename;Nimeä uudelleen
Web;Rename or move folder;Nimeä uudelleen tai siirrä kansio
Web;Rename, move or copy;Nimeä uudelleen, siirrä tai kopioi
Web;Report;Raportti
Web;Report execution mode;Raportin suoritustila
Web;Report name;Raportin nimi
Web;Report title;Raportin otsikko
Web;Report title if different from report name;Raportin otsikko, jos eri kuin raportin nimi
Web;Reports;Raportit
Web;Reports menu;Raporttivalikko
Web;Repository connection;Tietovaraston yhteys
Web;Reset password;Nollaa salasana
Web;Reset your password;Nollaa salasanasi
Web;Save;Tallenna
Web;Search;Hae
Web;Security code;Turvakoodi
Web;Startup report name;Käynnistysraportin nimi
Web;The favorite has been updated;Suosikki on päivitetty
Web;Two-Factor Authentication;Kaksivaiheinen tunnistautuminen
Web;Type;Tyyppi
Web;Type a new password;Kirjoita uusi salasana
Web;Upload;Lataa
Web;User groups;Käyttäjäryhmät
Web;User identifier or email;Käyttäjätunnus tai sähköposti
Web;User name;Käyttäjänimi
Web;Users;Käyttäjät
Web;Width;Leveys
WebJS;# of % selected;# / % valittu
WebJS;Actions;Toiminnot
WebJS;All selected;Kaikki valittu
WebJS;Allow only execution in a new window;Salli vain suoritus uudessa ikkunassa
WebJS;Cancel;Peruuta
WebJS;Contains;Sisältää
WebJS;Contains all;Sisältää kaikki
WebJS;Contains any;Sisältää minkä tahansa
WebJS;Copy;Kopioi
WebJS;Copy of;Kopio kohteesta
WebJS;Copy to;Kopioi kohteeseen
WebJS;Default;Oletus
WebJS;Default culture;Oletuskulttuuri
WebJS;Default mode;Oletustila
WebJS;Default report connection;Oletusraporttiyhteys
WebJS;Default repository connection;Oletustietovaraston yhteys
WebJS;Default startup;Oletuskäynnistys
WebJS;Do not execute report;Älä suorita raporttia
WebJS;Do you really want to delete the reports or files selected ?;Haluatko varmasti poistaa valitut raportit tai tiedostot?
WebJS;Does not contain;Ei sisällä
WebJS;Does not contain all;Ei sisällä kaikkia
WebJS;Does not contain any;Ei sisällä mitään
WebJS;Download report;Lataa raportti
WebJS;Edit report;Muokkaa raporttia
WebJS;Edit reports / Manage files;Muokkaa raportteja / Hallitse tiedostoja
WebJS;Edit schedules / View files;Muokkaa aikatauluja / Näytä tiedostot
WebJS;Ends with;Päättyy
WebJS;Equals;Yhtä suuri kuin
WebJS;Error;Virhe
WebJS;Execute report in a new window;Suorita raportti uudessa ikkunassa
WebJS;Execute report in the current window;Suorita raportti nykyisessä ikkunassa
WebJS;Execute reports / View files;Suorita raportteja / Näytä tiedostot
WebJS;Execute reports and outputs / View files;Suorita raportteja ja tulosteita / Näytä tiedostot
WebJS;Execute the last report;Suorita viimeisin raportti
WebJS;Execute the report;Suorita raportti
WebJS;Favorites;Suosikit
WebJS;Folder;Kansio
WebJS;Is between;On välillä
WebJS;Is different from;Eroaa arvosta
WebJS;Is empty;On tyhjä
WebJS;Is greater or equal than;On suurempi tai yhtä suuri kuin
WebJS;Is greater than;On suurempi kuin
WebJS;Is not between;Ei ole välillä
WebJS;Is not empty;Ei ole tyhjä
WebJS;Is not Null;Ei ole Null
WebJS;Is Null;On Null
WebJS;Is smaller or equal than;On pienempi tai yhtä suuri kuin
WebJS;Is smaller than;On pienempi kuin
WebJS;Last modification;Viimeisin muutos
WebJS;Mark as favorite;Merkitse suosikiksi
WebJS;Model;Malli
WebJS;No;Ei
WebJS;No personal folder;Ei henkilökohtaista kansiota
WebJS;No right;Ei oikeuksia
WebJS;None;Ei mitään
WebJS;Not sorted;Ei lajiteltu
WebJS;OK;OK
WebJS;Options;Asetukset
WebJS;Output;Tuloste
WebJS;Personal folder for files only;Henkilökohtainen kansio vain tiedostoille
WebJS;Personal folder for reports and files;Henkilökohtainen kansio raporteille ja tiedostoille
WebJS;Please wait;Odota
WebJS;Processing;Käsitellään
WebJS;Profile;Profiili
WebJS;Recents;Viimeisimmät
WebJS;Report;Raportti
WebJS;report(s) or file(s) cut in the clipboard;raportti(t) tai tiedosto(t) leikattu leikepöydälle
WebJS;report(s) or file(s) have been deleted;raportti(t) tai tiedosto(t) poistettu
WebJS;report(s) or file(s) processed;raportti(t) tai tiedosto(t) käsitelty
WebJS;report(s) or files(s) copied in the clipboard;raportti(t) tai tiedosto(t) kopioitu leikepöydälle
WebJS;Reports;Raportit
WebJS;Schedule;Aikataulu
WebJS;Server Version;Palvelimen versio
WebJS;Show _MENU_ reports;Näytä _MENU_ raporttia
WebJS;Starts with;Alkaa
WebJS;The folder has been created;Kansio on luotu
WebJS;The folder has been deleted;Kansio on poistettu
WebJS;The folder has been renamed;Kansio on nimetty uudelleen
WebJS;The folder has been updated;Kansio on päivitetty
WebJS;The report or file has been renamed;Raportti tai tiedosto on nimetty uudelleen
WebJS;Toggle Report or Folders view;Vaihda raportti- tai kansionäkymä
WebJS;Unexpected error on server;Odottamaton virhe palvelimella
WebJS;View;Näytä
WebJS;View Folders;Näytä kansiot
WebJS;View Report;Näytä raportti
WebJS;View reports;Näytä raportit
WebJS;Views and outputs;Näkymät ja tulosteet
WebJS;Warning;Varoitus
WebJS;Web Interface Version;Verkkokäyttöliittymän versio
WebJS;Yes;Kyllä
Web;Select agent;Valitse avustaja
Web;Mark as favorite;Merkitse suosikiksi
Web;Favorites;Suosikit
Web;No favorites yet;Ei vielä suosikkeja
Web;Recent;Viimeisimmät
Web;No recent items;Ei viimeisimpiä kohteita
Web;New conversation;Uusi keskustelu
Web;Sample prompts;Esimerkkikehotteet
Web;Sample Prompts;Esimerkkikehotteet
Web;No sample prompts defined;Ei määritettyjä esimerkkikehotteita
Web;AI Agent;Tekoälyavustaja
Web;Favorites & Recent;Suosikit ja viimeisimmät
Web;Hide panel;Piilota paneeli
Web;Ask the AI agent…;Kysy tekoälyavustajalta…
Web;Confirm Deletion;Vahvista poisto
Web;This action is irreversible. Are you sure you want to delete this item?;Tämä toiminto on peruuttamaton. Haluatko varmasti poistaa tämän kohteen?
Web;Data Source;Tietolähde
Web;Report Agents;Raporttiavustajat
Web;Select Tables or Views;Valitse taulut tai näkymät
Web;Filter tables...;Suodata taulut...
Web;Select All;Valitse kaikki
Web;Deselect All;Poista kaikki valinnat
Web;tables selected;taulua valittu
Web;Prompt Shortcuts;Kehotteiden pikavalinnat
Web;How can Seal AI help you today ?;Miten Seal AI voi auttaa sinua tänään?
Web;No current items available;Ei nykyisiä kohteita saatavilla
Web;Current items will appear here when saved;Nykyiset kohteet näkyvät tässä, kun ne on tallennettu
Web;Drafts;Luonnokset
Web;No draft items available;Ei luonnoskohteita saatavilla
Web;Upload files or create new items with the agent to see them here;Lähetä tiedostoja tai luo uusia kohteita avustajalla nähdäksesi ne tässä
Web;Item Details;Kohteen tiedot
Web;Loading detail. Please wait...;Ladataan tietoja. Odota...
Web;Select a row from the table to view its details;Valitse rivi taulukosta nähdäksesi sen tiedot
Web;Check;Tarkista
Web;Download;Lataa
Web;Reports Agent;Raporttiavustaja
Web;Connection type;Yhteystyyppi
Web;Connection string;Yhteysmerkkijono
Web;Tables or views;Taulut tai näkymät
Web;Report Agent;Raporttiavustaja
Web;AI Provider;Tekoälypalveluntarjoaja
Web;AI model;Tekoälymalli
Web;AI model name (overrides default));Tekoälymallin nimi (ohittaa oletuksen))
Web;Temperature;Lämpötila
Web;Model temperature;Mallin lämpötila
Web;System prompt;Järjestelmäkehote
Web;Optional sytem prompt for the agent;Valinnainen järjestelmäkehote avustajalle
Web;User prompt;Käyttäjäkehote
Web;Default user prompts (if empty default values configured are taken);Oletuskäyttäjäkehotteet (jos tyhjä, käytetään määritettyjä oletusarvoja)
Web;User Groups allowed (No selection means no restriction);Sallitut käyttäjäryhmät (Ei valintaa tarkoittaa, ettei rajoitusta ole)
Web;Scan options;Skannausasetukset
Web;When to scan;Milloin skannataan
Web;Cache duration (days);Välimuistin kesto (päivää)
Web;Cache duration (days) for scanned data;Skannattujen tietojen välimuistin kesto (päivää)
Web;Tables to scan (no selection means all tables);Skannattavat taulut (ei valintaa tarkoittaa kaikkia tauluja)
Web;Records to scan;Skannattavat tietueet
Web;Number of records used for scan;Skannauksessa käytettävien tietueiden määrä
Web;Scan Data Now;Skannaa tiedot nyt
Web;Execute;Suorita
Web;Elements:;Elementit:
Web;Restrictions:;Rajoitukset:
WebJS;Hide AI Agent;Piilota tekoälyavustaja
WebJS;AI Agent;Tekoälyavustaja
WebJS;Running;Käynnissä
WebJS;Request cancelled.;Pyyntö peruutettu.
WebJS;Remove from favorites;Poista suosikeista
WebJS;No sample prompts defined;Ei määritettyjä esimerkkikehotteita
WebJS;Rename;Nimeä uudelleen
WebJS;Delete;Poista
WebJS;No favorites yet;Ei vielä suosikkeja
WebJS;No recent items;Ei viimeisimpiä kohteita
Web;Configuration;Määritys
Web;Rights;Oikeudet
Web;Agents;Avustajat
Web;Folder;Kansio
Web;Drag to resize;Muuta kokoa vetämällä
WebJS;Copy and paste;Kopioi ja liitä
WebJS;Copy, paste and send;Kopioi, liitä ja lähetä
Web;Empty recycle bin;Tyhjennä roskakori
WebJS;Do you really want to permanently delete all items in the recycle bin ?;Haluatko varmasti poistaa pysyvästi kaikki roskakorin kohteet?
WebJS;The recycle bin has been emptied;Roskakori on tyhjennetty
WebJS;Task: only the tasks are executed;Tehtävä: vain tehtävät suoritetaan
WebJS;This report has a schedule;Tällä raportilla on aikataulu
Report;Show/Hide Guide;Näytä/piilota opas
Report;Show Restrictions;Näytä rajoitukset
Report;Hide Restrictions;Piilota rajoitukset
Report;Show Guide;Näytä opas
Report;Hide Guide;Piilota opas
WebJS;Copy for Excel;Kopioi Exceliä varten
WebJS;Download CSV;Lataa CSV
